SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
126949 ,		 0.168 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia8 ,		 ZZ->eenunu(mll>4GeV)(CT10)
126950 ,		 0.168 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia8 ,		 ZZ->mumununu(mll>4GeV)(CT10)
126951 ,		 0.168 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Powheg+Pythia8 ,		 ZZ->tautaununu(mll>4GeV)(CT10)
161962 ,		 0.7686 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Sherpa ,		 ZZ->llll(CT10)
161963 ,		 0.504 ,		 1.0 ,		 1 ,		 -- ,		 -999 ,		 2 ,		 Sherpa ,		 ZZ->llnunu(CT10)
161986 ,		 0.0012314 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Sherpa ,		 ZZ->llnunu+jj(6EWcoupling)(CT10)
161988 ,		 0.00073568 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Sherpa ,		 ZZ->llll+jj(6EWcoupling)(CT10)
105986 ,		 7.325 ,		 1.0 ,		 0.21165 ,		 -- ,		 -999 ,		 2 ,		 Herwig ,		 InclusiveZZ_1lepEF(CTEQ6L1)

181471 ,		 2.8307 ,		 0.880 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Sherpa ,		 ZZ->4e(mll1/2>4/<4GeV)+1p
181472 ,		 2.3448 ,		 0.880 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Sherpa ,		 ZZ->2e2mu(mll1/2>4/<4GeV)+1p
181473 ,		 1.5888 ,		 0.880 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Sherpa ,		 ZZ->2e2tau(mll1/2>4/<4GeV)+1p
181474 ,		 0.48635 ,		 0.880 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Sherpa ,		 ZZ->2mu2e(mll1/2>4/<4GeV)+1p
181475 ,		 0.50675 ,		 0.880 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Sherpa ,		 ZZ->4mu(mll1/2>4/<4GeV)+1p
181476 ,		 0.42322 ,		 0.880 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Sherpa ,		 ZZ->2mu2tau(mll1/2>4/<4GeV)+1p
181477 ,		 0.0040049 ,		 0.880 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Sherpa ,		 ZZ->2tau2e(mll1/2>4/<4GeV)+1p
181478 ,		 0.0039795 ,		 0.880 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Sherpa ,		 ZZ->2tau2mu(mll1/2>4/<4GeV)+1p
181479 ,		 0.0041187 ,		 0.880 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 Sherpa ,		 ZZ->4tau(mll1/2>4/<4GeV)+1p

116600 ,		 0.00405 ,		 1.0 ,		 0.56875 ,		 -- ,		 -999 ,		 2 ,		 gg2ZZ ,		 gg->ZZ->4lep_3lepEF(CT10)
116601 ,		 0.00067 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 gg2ZZ ,		 gg->ZZ->4e(CT10)
116602 ,		 0.00067 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 gg2ZZ ,		 gg->ZZ->4mu(CT10)
116603 ,		 0.00135 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 gg2ZZ ,		 gg->ZZ->2e2mu(CT10)

161966 ,		 5.8848 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Sherpa ,		 Inclusive_llnunu

167006 ,		 0.0050961 ,		 1.5 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 MadGraph ,		 WWW*->lnulnulnu(CTEQ6L1)
167007 ,		 0.0015546 ,		 1.5 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 MadGraph ,		 ZWW*->lllnulnu(CTEQ6L1)
167008 ,		 0.00033239 ,		 1.5 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 MadGraph ,		 ZZZ*->nunullll(CTEQ6L1)
181344 ,		 0.001 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 1 ,		 MadGraph+Pythia8 ,		 WWg*->llll(CTEQ6L1)
185302 ,		 0.00495 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 VBFNLO ,		 WpWpWm(CTEQ6L1)
185303 ,		 0.00265 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 VBFNLO ,		 WmWpWm(CTEQ6L1)

147800 ,		 7116.4 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg ,		 W+->enu(CT10)
147801 ,		 7116.4 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg ,		 W+->munu(CT10)
147802 ,		 7116.4 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg ,		 W+->taunu(CT10)
147803 ,		 5069.5 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg ,		 W-->enu(CT10)
147804 ,		 5069.5 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg ,		 W-->munu(CT10)
147805 ,		 5069.5 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Powheg ,		 W-->taunu(CT10)
147774 ,		 12185.8 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Sherpa ,		 W->enu(CT10)
147775 ,		 12185.8 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Sherpa ,		 W->munu(CT10)
147776 ,		 12185.8 ,		 1.0 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Sherpa ,		 W->taunu(CT10)
107680 ,		 8037.1 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wenu+0p(CTEQ6L1)
107681 ,		 1579.2 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wenu+1p(CTEQ6L1)
107682 ,		 477.2 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wenu+2p(CTEQ6L1)
107683 ,		 133.93 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wenu+3p(CTEQ6L1)
107684 ,		 35.622 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wenu+4p(CTEQ6L1)
107685 ,		 10.553 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wenu+5p(CTEQ6L1)
107690 ,		 8040 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wmunu+0p(CTEQ6L1)
107691 ,		 1580.3 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wmunu+1p(CTEQ6L1)
107692 ,		 477.5 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wmunu+2p(CTEQ6L1)
107693 ,		 133.94 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wmunu+3p(CTEQ6L1)
