SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
"169125","0.0027218","1.0","0.6087","--","800","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(NWA)"
"169126","0.0020227","1.0","0.61046","--","900","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(NWA)"
"169127","0.0015639","1.0","0.61128","--","1000","2","PowHeg+Pythia8","VBF_H->WW->leplep_2l_EF(NWA)"
"161344","0.0004324","1.0","1.0","--","90","1","Pythia8","WH_H->WW->leplep","AFII"
"161345","0.0008309","1.0","1.0","--","95","1","Pythia8","WH_H->WW->leplep","AFII"
"161100","0.0016557","1.0","1.0","--","100","1","Pythia8","WH_H->WW->leplep","Full"
"161101","0.0031291","1.0","1.0","--","105","1","Pythia8","WH_H->WW->leplep","Full"
"161102","0.0053628","1.0","1.0","--","110","1","Pythia8","WH_H->WW->leplep","Full"
"161103","0.0083652","1.0","1.0","--","115","1","Pythia8","WH_H->WW->leplep","Full"
"161104","0.0119183","1.0","1.0","--","120","1","Pythia8","WH_H->WW->leplep","Full"
"167282","0.0150464","1.0","1.0","--","124","1","Pythia8","WH_H->WW->leplep","Full"
"161105","0.0159027","1.0","1.0","--","125","1","Pythia8","WH_H->WW->leplep","Full"
"167285","0.0166351","1.0","1.0","--","126","1","Pythia8","WH_H->WW->leplep","Full"
"161106","0.0196222","1.0","1.0","--","130","1","Pythia8","WH_H->WW->leplep","Full"
"161107","0.022742","1.0","1.0","--","135","1","Pythia8","WH_H->WW->leplep","Full"
"161108","0.0250763","1.0","1.0","--","140","1","Pythia8","WH_H->WW->leplep","Full"
"161109","0.0265547","1.0","1.0","--","145","1","Pythia8","WH_H->WW->leplep","Full"
"161110","0.027238","1.0","1.0","--","150","1","Pythia8","WH_H->WW->leplep","Full"
"161111","0.0274141","1.0","1.0","--","155","1","Pythia8","WH_H->WW->leplep","Full"
"161112","0.0272133","1.0","1.0","--","160","1","Pythia8","WH_H->WW->leplep","Full"
"161113","0.0265043","1.0","1.0","--","165","1","Pythia8","WH_H->WW->leplep","Full"
"161114","0.0239027","1.0","1.0","--","170","1","Pythia8","WH_H->WW->leplep","Full"
"161115","0.0213001","1.0","1.0","--","175","1","Pythia8","WH_H->WW->leplep","Full"
"161116","0.0186968","1.0","1.0","--","180","1","Pythia8","WH_H->WW->leplep","Full"
"161117","0.0154252","1.0","1.0","--","185","1","Pythia8","WH_H->WW->leplep","Full"
"161118","0.0130285","1.0","1.0","--","190","1","Pythia8","WH_H->WW->leplep","Full"
"161119","0.0114114","1.0","1.0","--","195","1","Pythia8","WH_H->WW->leplep","Full"
"161120","0.0101512","1.0","1.0","--","200","1","Pythia8","WH_H->WW->leplep","Full"
"161121","0.0068192","1.0","1.0","--","220","1","Pythia8","WH_H->WW->leplep"
"161122","0.0048044","1.0","1.0","--","240","1","Pythia8","WH_H->WW->leplep"
"161123","0.0034766","1.0","1.0","--","260","1","Pythia8","WH_H->WW->leplep"
"161124","0.0025674","1.0","1.0","--","280","1","Pythia8","WH_H->WW->leplep"
"161125","0.0019243","1.0","1.0","--","300","1","Pythia8","WH_H->WW->leplep"
"161126","0.0014603","1.0","1.0","--","320","1","Pythia8","WH_H->WW->leplep"
"161127","0.0011178","1.0","1.0","--","340","1","Pythia8","WH_H->WW->leplep"
"161128","0.0008248","1.0","1.0","--","360","1","Pythia8","WH_H->WW->leplep"
"161129","0.0006154","1.0","1.0","--","380","1","Pythia8","WH_H->WW->leplep"
"161130","0.0004744","1.0","1.0","--","400","1","Pythia8","WH_H->WW->leplep"
"161452","0.022378","1.0","1.0","--","110","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161453","0.034907","1.0","1.0","--","115","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161454","0.049733","1.0","1.0","--","120","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161455","0.066359","1.0","1.0","--","125","1","Pythia8","WH_H->WW->lepjetjet","AFII"
"161456","0.081880","1.0","1.0","--","130","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161457","0.094898","1.0","1.0","--","135","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161458","0.10464","1.0","1.0","--","140","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161459","0.110809","1.0","1.0","--","145","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161460","0.11366","1.0","1.0","--","150","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161461","0.114395","1.0","1.0","--","155","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161462","0.113557","1.0","1.0","--","160","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161463","0.110598","1.0","1.0","--","165","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161464","0.099742","1.0","1.0","--","170","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161465","0.088881","1.0","1.0","--","175","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161466","0.078018","1.0","1.0","--","180","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161467","0.064366","1.0","1.0","--","185","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161468","0.054365","1.0","1.0","--","190","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161469","0.047618","1.0","1.0","--","195","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161470","0.042359","1.0","1.0","--","200","1","Pythia8","WH_H->WW->lepjetjet","Full"
"161471","0.028455","1.0","1.0","--","220","1","Pythia8","WH_H->WW->lepjetjet"
"161472","0.020048","1.0","1.0","--","240","1","Pythia8","WH_H->WW->lepjetjet"
"161473","0.014507","1.0","1.0","--","260","1","Pythia8","WH_H->WW->lepjetjet"
"161474","0.010713","1.0","1.0","--","280","1","Pythia8","WH_H->WW->lepjetjet"
"161475","0.008029","1.0","1.0","--","300","1","Pythia8","WH_H->WW->lepjetjet"
"161346","0.0002372","1.0","1.0","--","90","1","Pythia8","ZH_H->WW->leplep","AFII"
"161347","0.0004599","1.0","1.0","--","95","1","Pythia8","ZH_H->WW->leplep","AFII"
"161150","0.0009270","1.0","1.0","--","100","1","Pythia8","ZH_H->WW->leplep","Full"
