SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
107674,3.7744,1.23,1.0,--,-999,2,Alpgen+Herwig,Ztautau+4p(60<M<2000GeV),Full
107675,1.1163,1.23,1.0,--,-999,2,Alpgen+Herwig,Ztautau+5p(60<M<2000GeV),Full
146930,712.1,1.23,0.039626,--,-999,1,Alpgen+Herwig,Ztautau+0p(60<M<2000GeV)_2l_EF,Full
146931,154.95,1.23,0.047273,--,-999,1,Alpgen+Herwig,Ztautau+1p(60<M<2000GeV)_2l_EF,Full
146932,48.767,1.23,0.052937,--,-999,1,Alpgen+Herwig,Ztautau+2p(60<M<2000GeV)_2l_EF,Full
146933,14.184,1.23,0.058973,--,-999,1,Alpgen+Herwig,Ztautau+3p(60<M<2000GeV)_2l_EF,Full
146934,3.7959,1.23,0.067934,--,-999,1,Alpgen+Herwig,Ztautau+4p(60<M<2000GeV)_2l_EF,Full
167320,712.08,1.23,0.033522,--,-999,1,Alpgen+Herwig,Zee+0p(60<M<2000GeV)_VBF_EF,Full
167321,154.99,1.23,0.080913,--,-999,1,Alpgen+Herwig,Zee+1p(60<M<2000GeV)_VBF_EF,Full
167322,48.833,1.23,0.2463,--,-999,1,Alpgen+Herwig,Zee+2p(60<M<2000GeV)_VBF_EF,Full
167323,14.183,1.23,0.4692,--,-999,1,Alpgen+Herwig,Zee+3p(60<M<2000GeV)_VBF_EF,Full
167324,3.7909,1.23,0.67933,--,-999,1,Alpgen+Herwig,Zee+4p(60<M<2000GeV)_VBF_EF,Full
147078,1.1331,1.23,1,--,-999,1,Alpgen+Herwig,Zee+5p(60<M<2000GeV),Full
167330,712.11,1.23,0.0065069,--,-999,1,Alpgen+Herwig,Zmumu+0p(60<M<2000GeV)_VBF_EF,Full
167331,155,1.23,0.038308,--,-999,1,Alpgen+Herwig,Zmumu+1p(60<M<2000GeV)_VBF_EF,Full
167332,48.945,1.23,0.14105,--,-999,1,Alpgen+Herwig,Zmumu+2p(60<M<2000GeV)_VBF_EF,Full
167333,14.187,1.23,0.35368,--,-999,1,Alpgen+Herwig,Zmumu+3p(60<M<2000GeV)_VBF_EF,Full
167334,3.7943,1.23,0.5921,--,-999,1,Alpgen+Herwig,Zmumu+4p(60<M<2000GeV)_VBF_EF,Full
147086,1.1342,1.23,1,--,-999,1,Alpgen+Herwig,Zmumu+5p(60<M<2000GeV),Full
167340,712.1,1.23,0.008043,--,-999,2,Alpgen+Herwig,Ztautau+0p(60<M<2000GeV)_VBF_EF,Full
167341,154.99,1.23,0.02242,--,-999,2,Alpgen+Herwig,Ztautau+1p(60<M<2000GeV)_VBF_EF,Full
167342,48.85,1.23,0.083617,--,-999,2,Alpgen+Herwig,Ztautau+2p(60<M<2000GeV)_VBF_EF,Full
167343,14.185,1.23,0.19376,--,-999,2,Alpgen+Herwig,Ztautau+3p(60<M<2000GeV)_VBF_EF,Full
