SampleID, xsectioninpb
363446, 1.68843494
363449, 0.107132134
363452, 0.0181962547
363455, 0.00249485371
363458, 9.81193172e-06
363461, 2684.61495
363464, 146.40046
363467, 22.5957216
363470, 1.69556209
363473, 0.107245951
363476, 0.0190236485
363479, 0.00244418692
363482, 2.36398448e-06
363333, 909.565023
363336, 49.1073246
363339, 8.61112932
363342, 0.711433732
363345, 0.0480013652
363348, 0.0094559757
363351, 0.00123619508
363354, 5.14316711e-06
363438, 907.616822
363441, 49.8206154
363444, 8.64636318
363447, 0.730840739
363450, 0.0504871541
363453, 0.00942820621
363456, 0.00128440803
363459, 5.31409433e-06
363462, 912.15099
363465, 49.5512858
363468, 8.65835415
363471, 0.732911329
363474, 0.051038517
363477, 0.0094847398
363480, 0.00130719209
363483, 3.70524936e-06
361800, 15473.4888
361801, 3286.90092
361802, 927.048024
361803, 272.20678
361804, 83.6650956
361805, 36.0540284
361810, 15474.5692
361811, 3285.92856
361812, 927.102044
361813, 272.271604
361814, 83.7266784
361815, 36.0216164
361820, 15473.4888
361821, 3286.36072
361822, 927.134456
361823, 272.433664
361824, 83.7839396
361825, 35.9546316
361830, 31.741
361831, 33.675
361832, 18.645
361833, 12.617
361835, 31.731
361837, 18.624
361838, 12.674
361840, 31.739
361841, 33.64
361842, 18.636
361843, 12.67
361845, 85.913
361846, 106.24
361847, 68.43
361848, 38.212
361850, 85.852
361851, 106.27
361852, 68.429
361853, 38.236
361855, 85.86
361856, 106.18
361857, 68.147
361858, 38.236
361860, 597.55
361861, 188.43
361862, 50.904
361863, 13.913
361864, 5.7192
361865, 597.71
361866, 188.2
361867, 50.728
361868, 13.954
361869, 5.7551
361870, 597.34
361871, 188.47
361872, 50.769
361873, 13.901
361874, 5.7584
361520, 16752.5871
361521, 2276.3039
361522, 772.380921
361523, 215.347483
361524, 85.0801634
361525, 16747.7798
361526, 2275.46261
361527, 772.428995
361528, 215.359501
361529, 85.0717504
361530, 16729.752
361531, 2273.78001
361532, 771.431459
361533, 215.383538
361534, 85.3914425
363600, 14003.1656
363601, 2312.2088
363602, 404.400947
363603, 537.419772
363604, 181.203415
363605, 36.5244309
363606, 212.280638
363607, 84.3143522
363608, 22.1771774
363609, 45.5160378
363610, 20.9828249
363611, 7.00334032
363612, 6.7652172
363613, 3.43471491
363614, 1.3266426
363615, 2.27474991
363616, 1.2212595
363617, 0.515058951
363618, 0.725676671
363619, 0.40867736
363620, 0.1890876
